ID_Pedido,Texto_Incidencia,Categoria_Origen,Texto_Limpio
ID_86633a4b,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO,ped sid devuelt almacen retorn abus transport bigblu hac carg gast envi ped almcen met stock
ID_5fc946c3,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO,client pag gast envi adicional envi direccion correct bigblu vuelv envi direccion errone
ID_709f8519,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO,bigblu envi product paquet hac carg cost paquet prend nuev paquet 1141691
ID_4aa2953f,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO,bigblu envi pin client devuelv paquet almacen reclam bigblu gast envi
ID_1bcdf30a,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO,devolucion abus transport bigblu hac carg gast enivi
ID_0bcbe374,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO,client lleg ningun notif lleg punt recog devuelv abus bigblu hac carg gast envi
ID_3801ae6c,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO,client abre pud encuentr paquet vaci complet manipul 20 ener pid explic bigblu 17 ener mes despu sab
ID_561a9433,[OCULTO POR PRIVACIDAD],PAQUETE DUPLICADO,supon entregaod paquet bigblu da respuest firm entreg relam vam hac carg gast envi
ID_1314ab4f,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,error color
ID_1608a00e,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,envi prend nuev tiend
ID_e6f30b71,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,envi prend nuev tiend
ID_ada00bb5,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,duplic ped 899961
ID_13dbcaa6,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped colabor belgic duplic ped
ID_b8751a88,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,abiert litigi inpost
ID_27c7bb31,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,client envi ped prend
ID_b33643f1,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,client lleg ped reclam bigblu tambi gast envi duplic ped
ID_5707a40a,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped mas 15 dias transit envi prend nuev inici incident perd inpost
ID_c32e8746,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,bigblu pierd paquet hac carg
ID_f5e94726,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,transport pierd ped reclam duplic ped sac tiend envi mrw
ID_70af3f6f,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,bigblu indic ped sid perd sac tiend fisic stock bigblu
ID_51895628,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,bigblu avis repartidor perd ped duplic
ID_c4736ccd,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,bigblu avis paquet perd duplic
ID_e3df2d51,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,inpost entreg paquet person complet diferent envi prend nuev mrw inici incident inpost
ID_3fb1dbb4,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,despu reclam ped bigblu confirm ped perd repartidor
ID_0367cd24,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped perd seur
ID_fa743954,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped perd inpost litigi abiert envi nuev prend mrw falt ok ferret
ID_2bbd6975,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped perd bigblu envi nuev
ID_ca23d5d0,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped perd bigblu envi nuev
ID_7ce14b9c,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped dia 16 febrer entreg client inpost dad solucion envi nuev ped sig ser entreg
ID_d31264a1,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,duplic
ID_331c9bda,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,duplic reclam inpost
ID_c15a4426,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,reembols diner client quier prend abiert invetsig inpost
ID_f4dd0343,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,duplic ped abiert incidenici inpost
ID_74a71eac,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,envi perd inpost
ID_cae66086,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,mensaj inpost intent localiz ped pued facilit descripcion conten paquet agiliz localiz
ID_53999931,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,reclam bigblu llev camin 24 noviembr
ID_0cff777b,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,perd agenci transport envi nuev
ID_34d7111e,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,envi 5 ener esper respuest bigblu
ID_d3fcd124,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,envi 12 diciembr hac reembols client
ID_374bd302,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,envi 30 noviembr inpost entreg algui client despu bastant tiemp client prefier tramit reembols envi nuev prend
ID_b503ddd1,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped 3 diciembr inpost pierd ped tramit nuev stock burde esper respuest hab stock client quier reembols ped
ID_8e69f373,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped 29 noviembr envi 5 diciembr reclam reiter ocasion 20 ener entreg paquet envi nuev client
ID_100a68ea,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped 13 noviembr
ID_120b5667,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped 18 diciembr esper respuest inpost pod tramit nuev ped
ID_d0463e3f,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped princpi diciembr perd inpost envi nuev mas regal
ID_97ece9f0,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped perd diciembr reclam inpost
ID_8f8c044a,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,perd inpost
ID_4038655b,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,perd mrw envi prend nuev
ID_3607133f,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,perd inpost envi nuev
ID_5ead9ce5,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,perd inpost todavi sid devuelt almacen principi diciembr
ID_1c85ead7,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,perd bigblu envi nuev
ID_0510e715,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,perd inpost envi nuev
ID_b3fce27c,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,perd bigblu
ID_ea4e5d2c,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,todavi confirm perd
ID_9feb1cc3,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped llev reclam diciembr envi justif entreg client lleg envi prend nuev
ID_e9cf75ca,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,dec client escoj prend mism import stock
ID_164642a2,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped perd bigblu stock envi prend
ID_6f2e50a1,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,per inpost reclam abiert envi nuev
ID_73ccd660,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,client quier reembols
ID_06afe781,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped diciembr entreg todav
ID_47160aa6,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped 16 diciembr lleg todav envi nuev mrw
ID_68714384,[OCULTO POR PRIVACIDAD],PEDIDO PERDIDO,ped 10 ener client equivoc direccion envi ped puest recog punt pack envi vari ocasion recog ped punt pack va pus direccion asturi reclam much vec inpost ped devuelv almacen envi nuev client inpost da respuest envi nuev paquet nav final alessandr dia 14 febrer reembols ped client
